Id,Role
494083901019389953,everyone
494087645639606275,Doutores
494087913659826177,Caloiros
521626482481823744,Admin
521626856257224715,Engenharia Informática
521627131869134849,Informática de Gestão
521627310336770048,Games & Apps
810227792599187496,Ex alunos
810245139959513119,Veteranos
810292022015426581,Ciências da Comunicação
810622686287626271,carl-bot
814257696542162954,Simpatizante
814259810630369301,MEE6
815019578245120030,Praxe
815298849283113002,EliteBot
816458879558221834,Ad Eternum
816662757989417001,new role
816773508554031195,Server Booster
